Year,Month,Temperature,Time
2003年,1月,5.9,86.9
2003年,2月,8.3,123.2
2003年,3月,9.9,146.1
2003年,4月,16.1,147.1
2003年,5月,20,176.3
2003年,6月,23.2,149.2
2003年,7月,25.5,100.8
2003年,8月,27.2,163.4
2003年,9月,25.6,216.4
2003年,10月,18.8,230.8
2003年,11月,16.1,111.1
2003年,12月,9.3,107
2004年,1月,6.1,128.7
2004年,2月,9,152.2
2004年,3月,10.9,178
2004年,4月,16.2,222.5
2004年,5月,20.5,162.9
2004年,6月,24,193.2
2004年,7月,28.7,218.2
2004年,8月,28.6,200.9
2004年,9月,24.6,108.9
2004年,10月,19,168.5
2004年,11月,15.1,183.6
2004年,12月,10.7,144.1
2005年,1月,6.4,77.3
2005年,2月,6.1,85.1
2005年,3月,9.6,154
2005年,4月,16.7,229.3
2005年,5月,19.4,255.7
2005年,6月,24.8,183.2
2005年,7月,27.6,137.9
2005年,8月,28.4,186.2
2005年,9月,26,173.2
2005年,10月,20.5,155.9
2005年,11月,14.4,146.8
2005年,12月,6,90
2006年,1月,6.9,106.5
2006年,2月,7.7,114
2006年,3月,10.1,160.3
2006年,4月,14.6,167.4
2006年,5月,19.2,135.3
2006年,6月,23.2,147.1
2006年,7月,27.3,129.9
2006年,8月,29,237.4
2006年,9月,23.3,168.2
2006年,10月,20.6,214.8
2006年,11月,15,136
2006年,12月,9.5,112.1
2007年,1月,7.6,94.2
2007年,2月,9.8,148.9
2007年,3月,11.3,171.7
2007年,4月,15.1,196.3
2007年,5月,20.4,243
2007年,6月,23.8,132.7
2007年,7月,26.3,145.1
2007年,8月,29.4,221.5
2007年,9月,27,179.5
2007年,10月,20.9,192.1
2007年,11月,14.1,161.5
2007年,12月,9.8,100.2
2008年,1月,7.5,101.9
2008年,2月,6.3,146
2008年,3月,10.7,176.7
2008年,4月,15,184.3
2008年,5月,19.4,220.1
2008年,6月,22.2,86.7
2008年,7月,29,223.7
2008年,8月,27.6,161.7
2008年,9月,25,134.1
2008年,10月,20.3,175.4
2008年,11月,13.4,107.5
2008年,12月,9.1,122.1
2009年,1月,6.4,77.8
2009年,2月,9.8,107.7
2009年,3月,11.7,169.5
2009年,4月,15.6,224.4
2009年,5月,19.9,203.7
2009年,6月,23.6,168.4
2009年,7月,26.8,87.1
2009年,8月,27.6,188.2
2009年,9月,24.4,203.9
2009年,10月,19.7,173.3
2009年,11月,13.7,108.4
2009年,12月,8.9,94.6
2010年,1月,6.6,133.4
2010年,2月,9.4,114.1
2010年,3月,10.9,111.2
2010年,4月,13.8,154.3
2010年,5月,19.2,197.1
2010年,6月,23.5,145
2010年,7月,27.7,160.9
2010年,8月,30.3,229.7
2010年,9月,26.3,185
2010年,10月,20,126.8
2010年,11月,13.2,169.2
2010年,12月,8.8,106.4
2011年,1月,3.8,89.7
2011年,2月,8.2,130.8
2011年,3月,8.8,185
2011年,4月,14.7,224.5
2011年,5月,19.8,156.3
2011年,6月,23.9,107.6
2011年,7月,27.9,201.3
2011年,8月,28.5,177.4
2011年,9月,25.2,177.4
2011年,10月,19.7,157.6
2011年,11月,16.3,115.7
2011年,12月,8.5,96.6
2012年,1月,6.3,98.7
2012年,2月,5.7,75.6
2012年,3月,10.7,153.8
2012年,4月,16.2,211.1
2012年,5月,20.1,184.5
2012年,6月,23.1,105.8
2012年,7月,28,175.2
2012年,8月,29.1,196.7
2012年,9月,24.5,159.4
2012年,10月,19.2,204.3
2012年,11月,12.9,135.5
2012年,12月,7.6,98.4
2013年,1月,6.1,125.6
2013年,2月,7.8,136.9
2013年,3月,12.3,178.6
2013年,4月,14.7,209.1
2013年,5月,20.3,250.6
2013年,6月,23.7,97.6
2013年,7月,30,215.8
2013年,8月,30,246.2
2013年,9月,25.2,209
2013年,10月,20.7,172.2
2013年,11月,13.4,112.1
2013年,12月,8.1,104.8
2014年,1月,7.5,146.3
2014年,2月,7.6,105.2
2014年,3月,11.5,175.1
2014年,4月,15.6,179.9
2014年,5月,20.5,280.7
2014年,6月,22.6,107.9
2014年,7月,27.1,148
2014年,8月,26.5,79.7
2014年,9月,24.2,159.5
2014年,10月,19.7,183.6
2014年,11月,14.7,138
2014年,12月,7.6,105.9
2015年,1月,7.9,112.2
2015年,2月,7.6,114.3
2015年,3月,11.1,193.7
2015年,4月,16.2,161.9
2015年,5月,20.7,230.5
2015年,6月,22.6,124.6
2015年,7月,26,149.2
2015年,8月,27.4,203.5
2015年,9月,23.2,158.1
2015年,10月,18.9,231.2
2015年,11月,16,101.8
2015年,12月,10.3,91
2016年,1月,7,59.3
2016年,2月,7.9,106.6
2016年,3月,11.5,160.4
2016年,4月,16.8,160.2
2016年,5月,20.8,224.9
2016年,6月,23.6,137.7
2016年,7月,28.3,230
2016年,8月,29.3,285
2016年,9月,25.1,102.8
2016年,10月,21.3,113
2016年,11月,14.5,126.5
2016年,12月,10.5,125.1
2017年,1月,7.4,139.5
2017年,2月,8.3,152.7
2017年,3月,10.5,169.2
2017年,4月,16.5,198
2017年,5月,21,253.9
2017年,6月,23.1,194.3
2017年,7月,29.4,207.5
2017年,8月,29.5,258.2
2017年,9月,24.3,136.6
2017年,10月,19.8,122.8
2017年,11月,13.6,145.4
2017年,12月,7.4,91
2018年,1月,5.7,95.9
2018年,2月,6.2,130.2
2018年,3月,11.9,202.4
2018年,4月,17.1,216.6
2018年,5月,20.8,190.6
2018年,6月,23.7,178.9
2018年,7月,28.7,250.3
2018年,8月,30,282.9
